RowNumber;CustomerId;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited;Geography_codes;Gender_codes
952;15785899;789;Germany;Male;33;8;15160756;1;1;0;43894;0;1;1
953;15606149;571;Germany;Female;66;9;11157701;1;0;1;1892719;0;1;0
954;15671139;694;Spain;Male;39;0;10704274;1;1;1;1022842;0;2;1
955;15660429;665;Spain;Female;42;2;15637161;2;0;1;15677494;1;2;0
956;15571002;706;France;Female;44;4;12960599;1;0;0;6986549;0;0;0
957;15631681;807;Spain;Female;43;0;0;2;0;1;8552324;0;2;0
958;15731522;771;Spain;Female;67;8;0;2;1;1;512198;0;2;0
959;15619529;531;Spain;Male;27;8;13257625;1;0;0;722292;0;2;1
960;15628034;629;France;Female;37;6;1291013;1;1;1;2397133;0;0;0
961;15686164;850;Germany;Female;31;1;1088224;1;1;1;13217331;0;1;0
962;15582797;685;Spain;Male;35;4;13794851;1;1;0;11363964;0;2;1
963;15753831;642;Spain;Male;32;7;1004338;1;1;1;3976859;0;2;1
964;15731815;529;Spain;Male;63;4;9613411;3;1;0;10873296;1;2;1
965;15580956;683;Germany;Female;43;4;11588804;1;1;1;11734919;1;1;0
966;15602084;663;France;Female;42;5;12462607;1;1;1;780045;0;0;0
967;15589805;563;France;Female;34;6;13981034;1;1;1;15241779;0;0;0
968;15720893;637;Spain;Female;34;9;0;2;0;0;2605708;0;2;0
969;15641009;544;France;Male;37;3;8449671;1;0;0;7997209;0;0;1
970;15605926;649;Germany;Male;70;9;11685471;2;0;1;10712579;0;1;1
971;15805955;638;France;Female;48;10;13833303;1;1;1;4767914;0;0;0
972;15801488;723;France;Male;25;3;0;2;1;1;13450947;0;0;1
973;15605918;635;Germany;Male;43;5;7899275;2;0;0;15326531;0;1;1
974;15779711;750;Spain;Female;38;7;9725741;2;0;1;17988304;0;2;0
975;15705620;730;France;Male;34;5;12245337;2;1;0;13888298;0;0;1
976;15685357;750;Spain;Female;36;8;11294007;1;0;1;985581;0;2;0
977;15570060;586;France;Female;43;8;13255826;1;1;0;6704683;1;0;0
978;15582616;520;France;Female;38;4;0;2;1;0;5638863;0;0;0
979;15799515;652;France;Female;48;8;13329724;1;1;0;7776437;0;0;0
980;15642937;550;France;Female;46;7;0;2;1;0;13059035;0;0;0
981;15624729;594;France;Male;27;0;1970418;1;0;0;15191249;0;0;1
982;15566156;749;Germany;Female;44;0;7149779;2;0;0;1510838;0;1;0
983;15792360;668;France;Male;32;7;0;2;1;1;77737;0;0;1
984;15807008;614;Germany;Female;35;6;12810028;1;0;0;6945424;1;1;0
985;15704770;773;France;Male;25;1;12453278;2;0;1;1172357;0;0;1
986;15756475;551;Germany;Male;31;9;8229382;2;1;1;9156525;0;1;1
987;15655339;566;France;Male;36;1;14212091;1;1;0;7961637;0;0;1
988;15613749;569;Spain;Male;34;0;15183926;1;1;0;10229981;1;2;1
989;15664521;659;Spain;Male;31;7;14962088;2;1;1;10453351;0;2;1
990;15681206;722;France;Female;49;3;16819766;1;1;0;14076557;1;0;0
991;15745527;655;France;Male;37;5;931470;2;1;0;6621413;0;0;1
992;15806926;615;France;Female;35;2;9744002;2;1;1;1398161;0;0;0
993;15724563;752;Germany;Female;42;3;6504608;2;0;1;14013928;0;1;0
994;15782899;661;Spain;Female;28;7;9535749;1;0;0;10229715;0;2;0
995;15623521;838;Spain;Male;43;9;12310588;2;1;0;14576583;0;2;1
996;15810218;610;Spain;Male;29;9;0;3;0;1;8391224;0;2;1
997;15645621;811;Spain;Male;44;3;0;2;0;1;7843973;0;2;1
998;15608114;587;Spain;Male;62;7;12128627;1;0;1;677692;0;2;1
999;15659557;811;Germany;Female;28;4;16773882;2;1;1;990342;0;1;0
1000;15787772;759;France;Female;38;1;10409129;1;0;0;9156191;0;0;0
1001;15691111;648;Germany;Female;42;8;12198056;2;1;0;402702;0;1;0
1002;15592089;788;France;Female;43;10;0;2;1;1;11611151;0;0;0
1003;15633897;725;Germany;Male;39;1;5088098;2;1;1;18402354;0;1;1
1004;15701301;646;France;Female;42;3;1751599;2;0;0;6712448;1;0;0
1005;15723685;601;Germany;Female;26;7;10551469;2;1;0;5007059;0;1;0
1006;15701602;521;Germany;Male;52;5;11649731;3;0;0;537931;1;1;1
1007;15739189;561;Spain;Female;33;6;0;2;1;0;4526147;0;2;0
1008;15573086;564;France;Male;42;7;9982445;1;1;1;367214;0;0;1
1009;15569050;444;France;Male;45;6;0;1;1;0;13000985;1;0;1
1010;15750765;650;Spain;Male;71;0;0;1;1;1;17538077;0;2;1
1011;15799811;724;France;Male;40;10;0;1;1;0;12784725;1;0;1
1012;15698442;719;Spain;Male;35;3;12296488;1;1;1;1382317;0;2;1
1013;15655274;548;France;Female;29;4;0;2;0;1;4867318;0;0;0
1014;15603594;635;Spain;Male;24;4;0;2;1;1;7066877;0;2;1
1015;15585961;496;Spain;Female;43;3;0;2;0;1;19950553;0;2;0
1016;15686936;676;France;Female;37;5;8963469;1;1;1;16958318;1;0;0
1017;15770424;541;Germany;Male;40;7;9571011;2;1;0;4906342;0;1;1
1018;15587451;778;Germany;Male;41;7;13970631;1;1;0;6333719;0;1;1
1019;15602010;850;Germany;Female;45;5;10390986;1;1;0;6008311;1;1;0
1020;15600583;633;France;Male;31;1;0;1;1;0;4860671;0;0;1
1021;15654673;625;France;Male;49;6;1734349;1;1;0;16558093;1;0;1
1022;15717164;485;Spain;Male;32;6;10223801;2;1;1;19401012;0;2;1
1023;15765014;547;France;Female;48;1;17938074;2;0;1;692631;0;0;0
1024;15682639;642;France;Male;32;3;0;2;1;1;8869883;0;0;1
1025;15729279;718;France;Female;25;4;10869195;1;1;0;6303097;0;0;0
1026;15759805;582;France;Female;32;4;0;2;1;0;5966881;0;0;0
1027;15767864;628;France;Male;33;6;0;2;0;0;18423023;0;0;1
1028;15769948;737;Germany;Male;35;0;1333778;1;0;1;6405019;0;1;1
1029;15686345;828;Spain;Male;34;9;0;2;1;1;8185398;0;2;1
1030;15688071;609;Spain;Male;53;10;0;1;1;1;15464291;0;2;1
1031;15681174;730;France;Male;39;1;1165376;1;0;0;1456796;0;0;1
1032;15667521;631;France;Female;22;3;0;2;0;0;3078177;0;0;0
1033;15750243;830;Spain;Male;40;4;0;2;0;1;8162252;0;2;1
1034;15695475;645;France;Male;29;1;13013108;2;0;1;19647435;0;0;1
1035;15689176;663;France;Male;46;3;0;2;0;1;1762761;0;0;1
1036;15652955;678;Spain;Male;30;0;0;1;1;0;3511308;0;2;1
1037;15668958;521;France;Male;30;2;10731609;1;1;0;6429982;0;0;1
1038;15631054;625;France;Female;24;1;0;2;1;1;18096955;0;0;0
1039;15581479;523;France;Male;30;1;8318129;1;1;1;13817678;0;0;1
1040;15577478;714;France;Female;72;3;0;1;1;1;8673361;0;0;0
1041;15780870;580;Spain;Male;67;3;15394614;1;1;1;741892;0;2;1
1042;15692317;722;France;Male;30;5;0;2;1;0;16637654;0;0;1
1043;15593969;630;Spain;Female;39;7;13548317;1;1;0;1408812;1;2;0
1044;15570417;579;France;Male;35;1;0;2;1;0;44602;0;0;1
1045;15779059;670;France;Female;38;4;11962454;2;1;1;11047212;0;0;0
1046;15785980;588;Spain;Male;34;6;12113226;2;1;0;8646028;0;2;1
1047;15644200;807;Spain;Female;42;1;0;1;1;0;1650066;1;2;0
1048;15793949;726;France;Female;48;4;0;1;1;0;11402006;1;0;0
1049;15645103;812;Germany;Male;25;5;5481755;1;1;0;13166031;0;1;1
1050;15705860;631;Germany;Male;40;3;10794945;1;1;0;5244962;1;1;1
1051;15623828;682;France;Male;30;4;0;1;0;1;16146531;0;0;1
1052;15715003;625;Spain;Female;49;2;8081645;1;1;1;2001879;0;2;0
1053;15623471;607;Germany;Male;38;3;9820577;1;1;0;17631827;0;1;1
1054;15798348;600;Spain;Female;50;6;9468427;1;1;1;5048891;0;2;0
1055;15743016;602;Spain;Female;22;7;14160476;1;1;0;303796;0;2;0
1056;15769499;545;Spain;Female;74;3;0;2;1;1;16132673;0;2;0
1057;15798521;675;Spain;Male;33;3;0;2;1;0;4534808;0;2;1
1058;15706534;581;France;Female;47;1;12294914;1;0;0;18025168;1;0;0
1059;15706186;640;Germany;Male;33;8;8167722;2;0;0;3492556;0;1;1
1060;15812197;850;France;Male;38;7;8029398;1;0;0;12655574;0;0;1
1061;15650933;490;Spain;Female;48;8;15541306;1;1;0;1879213;0;2;0
1062;15692991;710;Spain;Female;38;4;0;2;1;1;13639088;0;2;0
1063;15631189;613;Germany;Male;38;9;6711165;1;1;0;7856664;1;1;1
1064;15762198;812;France;Male;34;5;10381843;1;1;1;16603827;0;0;1
1065;15699598;723;France;Female;20;4;0;2;1;1;14038533;0;0;0
1066;15692744;512;France;Male;36;4;15216912;2;0;0;386293;1;0;1
1067;15688963;731;France;Female;52;10;0;1;1;1;2499875;1;0;0
1068;15599131;650;Germany;Male;26;4;21434696;2;1;0;12881533;0;1;1
1069;15680303;594;France;Male;57;6;0;1;1;0;1937656;1;0;1
1070;15628674;844;France;Male;40;7;11334814;1;1;0;3190431;1;0;1
1071;15648075;686;Germany;Female;47;5;17093594;1;1;0;17317979;1;1;0
1072;15586970;695;Germany;Male;52;8;10302326;1;1;1;2248564;0;1;1
1073;15625698;624;Spain;Female;23;6;0;2;0;1;19666851;0;2;0
1074;15790497;503;Spain;Male;37;6;0;2;0;0;13650686;0;2;1
1075;15682618;535;France;Female;31;7;11185504;2;1;1;3627889;0;0;0
1076;15762937;743;Germany;Female;32;6;14034856;2;1;1;16325439;0;1;0
1077;15750929;702;Spain;Male;39;8;0;2;1;0;9965413;0;2;1
1078;15729832;658;France;Male;29;3;14551284;1;1;0;2020702;0;0;1
1079;15633650;677;Germany;Female;41;8;14672098;2;1;1;419584;0;1;0
1080;15748856;664;France;Male;32;10;10720973;1;1;1;1123402;0;0;1
1081;15589195;766;Germany;Female;38;7;13093374;1;0;1;203594;0;1;0
1082;15699911;461;Spain;Female;35;8;0;1;1;0;13229595;0;2;0
1083;15663438;688;Spain;Male;36;0;897723;1;1;0;17738368;1;2;1
1084;15692583;678;France;Female;32;5;0;2;1;0;9028447;0;0;0
1085;15591257;796;France;Male;24;8;0;2;1;0;6134937;0;0;1
1086;15646513;803;France;Male;42;5;0;1;1;0;19646683;1;0;1
1087;15708063;712;France;Male;36;2;1007495;3;0;0;7075837;1;0;1
1088;15696098;498;France;Female;31;10;0;2;1;0;1389257;0;0;0
1089;15645517;850;Spain;Male;22;2;0;2;1;1;968452;0;2;1
1090;15649744;628;France;Female;51;3;12398131;2;1;1;4054615;0;0;0
1091;15604304;539;Germany;Female;34;4;9162242;1;1;1;13660342;0;1;0
1092;15784092;732;France;Male;36;7;12619581;1;1;1;13317248;0;0;1
1093;15585198;715;France;Male;41;4;942679;1;0;1;15282112;1;0;1
1094;15624347;651;France;Male;40;4;0;2;1;1;14771583;0;0;1
1095;15621687;813;France;Male;34;0;0;2;1;0;4316915;0;0;1
1096;15689081;692;France;Male;29;4;0;1;1;0;7675599;1;0;1
1097;15813168;756;Germany;Female;39;3;10071785;3;1;1;7340604;1;1;0
1098;15604295;543;France;Male;36;6;0;2;1;0;17672828;0;0;1
1099;15724127;790;France;Female;26;4;14158171;2;0;0;9830927;0;0;0
1100;15673055;494;Spain;Male;38;7;0;2;1;1;620366;0;2;1
1101;15768201;850;France;Female;39;2;14858664;1;1;1;17679127;0;0;0
1102;15782219;703;Spain;Male;29;9;0;2;1;0;5067948;0;2;1
1103;15746410;432;Spain;Male;38;7;0;2;1;0;15058088;0;2;1
1104;15780144;512;Germany;Female;32;2;12340385;2;1;0;8012019;0;1;0
1105;15590476;589;France;Male;28;7;0;2;1;0;15164596;0;0;1
1106;15624293;514;France;Female;46;3;10651185;1;1;0;5507232;0;0;0
1107;15618182;678;France;Female;38;2;0;2;0;0;11506899;0;0;0
1108;15660316;420;Germany;Female;34;1;1355499;1;0;0;14947113;1;1;0
1109;15678886;679;Germany;Male;38;7;11055537;2;1;0;4652268;0;1;1
1110;15616330;595;France;Male;31;4;0;2;1;0;18999586;0;0;1
1111;15592229;713;France;Female;52;0;18589154;1;1;1;4636957;1;0;0
1112;15798424;833;Germany;Male;59;1;13085459;1;1;1;3072252;1;1;1
1113;15714750;690;France;Female;42;3;9257814;2;0;0;708106;0;0;0
1114;15648800;731;Germany;Female;21;8;13231206;1;1;0;10666346;1;1;0
1115;15626147;608;France;Female;62;8;1449765;1;0;0;17583603;1;0;0
1116;15626608;479;Spain;Male;48;5;8707023;1;0;1;8564641;0;2;1
1117;15723250;519;France;Male;42;8;0;2;1;1;10148572;0;0;1
1118;15592583;731;France;Female;47;1;11541419;3;0;0;19173467;1;0;0
1119;15759381;617;Spain;Male;61;7;9107043;1;1;1;10183977;0;2;1
1120;15585241;756;Spain;Male;29;2;11741219;2;1;0;488891;0;2;1
1121;15589358;848;Germany;Male;31;4;9001845;2;1;0;19313298;0;1;1
1122;15672704;809;France;Female;24;4;0;2;1;0;19351876;0;0;0
1123;15789955;698;Germany;Male;56;1;11241481;2;0;0;9398202;1;1;1
1124;15596800;779;Germany;Male;33;1;15845676;1;1;1;19700092;1;1;1
1125;15627305;606;Spain;Male;35;7;0;1;1;0;10683706;1;2;1
1126;15645316;612;Germany;Female;58;1;14964153;1;1;1;11516128;0;1;0
1127;15593973;663;Spain;Female;33;8;12252818;1;1;0;1962603;0;2;0
1128;15647301;549;Germany;Female;45;3;14373401;2;1;1;9640438;0;1;0
1129;15750258;675;France;Female;32;2;15566331;1;1;0;9765866;0;0;0
1130;15685309;669;France;Female;35;7;0;1;1;1;4910823;1;0;0
1131;15628205;571;Germany;Female;34;1;10173666;1;0;1;19565166;0;1;0
1132;15733974;500;Spain;Male;37;9;12582221;1;1;0;1116980;0;2;1
1133;15762110;628;France;Male;37;0;0;2;1;1;17170793;0;0;1
1134;15706899;559;France;Male;34;4;0;2;1;1;6672198;0;0;1
1135;15732660;769;France;Female;27;2;0;1;1;1;5787605;0;0;0
1136;15656121;733;Germany;Male;31;6;15779107;2;0;0;17799481;0;1;1
1137;15614220;750;France;Male;22;5;0;2;0;1;10512565;0;0;1
1138;15645269;583;France;Female;42;4;0;2;1;0;1743966;0;0;0
1139;15698510;468;Germany;Male;42;9;18162714;2;1;0;17266839;0;1;1
1140;15569247;727;Spain;Female;57;1;10967972;1;0;1;75337;0;2;0
1141;15566251;618;France;Female;37;5;9665286;1;1;0;986864;1;0;0
1142;15716134;617;France;Male;40;5;19000832;2;1;1;10704792;0;0;1
1143;15763625;793;Spain;Male;41;9;0;2;1;0;15215374;0;2;1
1144;15605965;630;France;Male;43;9;0;2;1;1;3433804;0;0;1
1145;15694821;765;Germany;Male;43;4;14896276;1;0;1;17387887;1;1;1
1146;15601688;546;France;Male;28;8;0;1;1;0;15925429;0;0;1
1147;15575581;614;Germany;Female;30;3;13134452;2;1;0;5477664;0;1;0
1148;15671209;593;Germany;Female;29;5;10171384;3;1;0;13459499;0;1;0
1149;15616529;613;Spain;Male;34;3;0;1;1;1;4172472;0;2;1
1150;15773906;655;France;Male;38;4;0;2;0;0;11052771;0;0;1
1151;15722993;700;France;Female;27;6;13796307;1;0;0;899679;0;0;0
1152;15752463;826;Spain;Female;29;4;12993807;1;0;1;19020053;0;2;0
1153;15589754;652;Germany;Male;45;2;15142144;1;0;1;11533343;0;1;1
1154;15669899;755;Germany;Female;45;7;1356430;1;0;0;14361952;1;1;0
1155;15766887;538;Spain;Male;39;2;1227735;2;1;1;5846708;0;2;1
1156;15768006;729;France;Male;34;3;1523038;1;1;0;1212869;0;0;1
1157;15741295;615;France;Male;49;3;0;2;1;1;4987233;0;0;1
1158;15811327;700;Spain;Male;54;1;7941567;1;0;1;13973554;0;2;1
1159;15690007;434;Germany;Female;58;9;12580103;2;1;0;608918;1;1;0
1160;15690664;729;Spain;Male;37;10;0;2;1;0;10086254;0;2;1
1161;15719348;513;France;Male;35;8;0;1;1;0;7664029;1;0;1
1162;15781802;755;France;Male;41;6;10481741;1;1;0;12601358;1;0;1
1163;15752731;615;France;Female;30;9;0;1;1;0;8734782;0;0;0
1164;15600997;747;Germany;Female;32;5;6749504;2;0;1;7737037;0;1;0
1165;15750776;850;France;Female;36;0;16485054;1;1;1;6272244;0;0;0
1166;15723907;712;Germany;Female;49;5;15477642;2;0;0;19625768;0;1;0
1167;15633419;622;Germany;Female;28;1;14312463;2;1;0;817238;0;1;0
1168;15702430;548;France;Female;35;10;0;1;1;1;3129971;0;0;0
1169;15710456;607;France;Female;27;2;0;2;1;0;6349586;0;0;0
1170;15650351;653;France;Female;38;8;10213338;1;1;1;16652096;0;0;0
1171;15590820;699;Spain;Male;26;6;7993241;1;0;0;15024244;0;2;1
1172;15640454;693;Germany;Male;40;0;12071173;1;0;0;2734518;1;1;1
1173;15697789;647;Germany;Female;43;3;12271753;2;1;1;8700039;0;1;0
1174;15808182;478;Spain;Female;36;3;923633;2;1;0;449127;0;2;0
1175;15588670;705;Spain;Female;40;5;20371515;1;1;0;17997868;1;2;0
1176;15721292;719;Spain;Male;39;5;0;2;1;0;1457597;0;2;1
1177;15604217;726;France;Male;34;9;0;2;0;0;1412161;0;0;1
1178;15651369;626;France;Male;21;1;0;2;1;0;6623223;0;0;1
1179;15782454;552;France;Male;49;4;0;1;1;1;19029676;1;0;1
1180;15814032;807;Germany;Female;31;1;9346047;2;0;0;17278269;0;1;0
1181;15570326;621;France;Male;34;6;0;2;1;1;9912813;0;0;1
1182;15624428;651;Germany;Female;24;7;402247;1;1;1;17834133;0;1;0
1183;15755638;673;France;Female;43;5;16806973;1;1;1;14699224;1;0;0
1184;15600992;652;France;Male;36;1;0;2;1;1;15131498;0;0;1
1185;15755649;584;Germany;Male;47;7;13053877;1;1;0;9291584;0;1;1
1186;15795228;756;France;Male;37;3;1326236;1;1;1;589740;0;0;1
1187;15589257;670;France;Female;35;3;10346502;2;1;1;17462706;0;0;0
1188;15719302;765;France;Female;50;9;1265478;1;1;1;7957994;1;0;0
1189;15639882;528;France;Male;30;2;12826272;2;1;0;5077116;0;0;1
1190;15791279;701;France;Male;40;5;16974264;1;1;1;15353755;1;0;1
1191;15636935;797;France;Female;29;1;0;2;1;1;13297539;0;0;0
1192;15686909;639;Germany;Male;27;3;15079581;1;0;1;8520893;0;1;1
1193;15589572;785;Spain;Female;61;4;12985572;2;1;0;17021482;1;2;0
1194;15779947;363;Spain;Female;28;6;14609843;3;1;0;10061514;1;2;0
1195;15573769;764;France;Female;24;7;0;2;1;0;18610599;0;0;0
1196;15578866;676;France;Female;43;2;0;1;1;1;5511953;0;0;0
1197;15739131;718;Germany;Male;28;4;656433;1;1;0;2876099;0;1;1
1198;15813444;590;Spain;Female;34;6;0;2;1;0;17102144;0;2;0
1199;15678058;584;France;Male;38;9;10458416;1;1;0;17667872;0;0;1
1200;15769169;645;France;Male;41;7;0;1;0;1;2866756;0;0;1
1201;15804602;772;Germany;Male;30;6;9978528;2;0;0;19723803;0;1;1
1202;15651052;399;Germany;Male;46;2;12765522;1;1;0;13999468;1;1;1
1203;15724334;529;France;Male;22;5;0;1;1;0;15116983;0;0;1
1204;15569451;463;France;Male;35;2;10125716;1;1;1;11811364;0;0;1
1205;15650098;630;France;Female;40;7;0;2;1;1;3445317;0;0;0
1206;15724307;780;France;Male;76;10;12131388;1;0;1;6487233;0;0;1
1207;15599268;584;Spain;Male;32;5;0;2;1;0;1095682;0;2;1
1208;15594864;752;Germany;Male;30;4;8152338;1;1;1;3688585;0;1;1
1209;15616451;697;France;Female;47;6;12825266;1;1;1;1680534;0;0;0
1210;15715667;850;France;Female;32;7;0;2;0;0;1552270;0;0;0
1211;15658969;711;France;Male;51;7;0;3;1;0;3840979;1;0;1
1212;15738174;452;France;Female;32;5;0;2;0;1;7527939;0;0;0
1213;15813590;610;Spain;Male;42;6;0;2;1;0;15830259;1;2;1
1214;15624229;694;France;Female;22;4;0;2;1;1;1152572;0;0;0
1215;15674148;579;Spain;Male;33;6;0;1;1;0;9499304;1;2;1
1216;15625080;745;Spain;Female;54;8;0;1;1;0;17391229;1;2;0
1217;15682528;572;France;Male;33;5;0;1;0;1;4113905;0;0;1
1218;15696900;505;Germany;Male;29;3;14554156;2;1;1;5801995;0;1;1
1219;15730038;706;France;Female;23;5;0;1;0;0;16412841;1;0;0
1220;15812272;693;Germany;Male;44;5;12460158;2;1;1;4699813;1;1;1
1221;15654654;725;Germany;Female;33;7;11518284;2;1;1;17727941;0;1;0
1222;15697625;791;France;Male;37;2;16378949;2;1;0;7583253;0;0;1
1223;15616280;536;France;Male;46;1;6573341;1;1;0;6109453;0;0;1
1224;15654229;699;Spain;Male;47;1;0;2;0;1;3011744;0;2;1
1225;15628298;500;Spain;Female;47;8;12848611;1;1;0;17922712;0;2;0
1226;15733387;707;Spain;Female;53;6;10966347;1;1;1;5211045;0;2;0
1227;15775572;531;Germany;Female;42;6;8832431;2;1;0;7524875;0;1;0
1228;15613844;557;France;Female;28;7;14644524;2;1;0;18431774;0;0;0
1229;15578515;659;France;Female;38;3;0;2;1;0;1585531;0;0;0
1230;15607598;575;Spain;Female;31;6;0;2;1;1;9568642;0;2;0
1231;15742480;775;Germany;Male;36;2;10994905;2;0;1;7168254;0;1;1
1232;15749482;772;Spain;Male;30;4;7865305;1;1;0;179048;0;2;1
1233;15607537;587;Germany;Male;46;9;10785082;1;1;0;1394310;1;1;1
1234;15575410;667;Germany;Female;39;4;8376535;2;1;0;11835854;0;1;0
1235;15684865;771;France;Female;66;7;14377307;1;1;1;13082788;0;0;0
1236;15600700;523;Germany;Male;63;6;11622727;1;1;1;11940463;0;1;1
1237;15774155;662;Germany;Male;33;0;10347152;1;1;1;1627030;0;1;1
1238;15634267;717;France;Male;42;5;0;2;1;0;17266521;0;0;1
1239;15619626;746;France;Male;24;3;13749235;2;0;1;17014209;0;0;1
1240;15660422;569;France;Male;28;7;0;2;1;0;7397723;0;0;1
1241;15617934;579;France;Male;36;9;12982959;1;1;1;6090612;0;0;1
1242;15760774;519;France;Female;21;1;14632957;2;1;1;19486727;0;0;0
1243;15813132;696;Germany;Male;30;4;1140277;1;1;1;19371656;0;1;1
1244;15593331;693;Germany;Male;25;6;14658069;1;0;1;1463335;0;1;1
1245;15616709;587;Germany;Female;38;0;13212242;2;0;0;3173032;0;1;0
1246;15658052;626;France;Female;44;10;8155393;1;1;0;2006363;1;0;0
1247;15721189;666;France;Female;66;7;0;2;1;1;9979282;0;0;0
1248;15711288;512;France;Male;24;6;0;2;1;0;3765431;0;0;1
1249;15770030;689;Spain;Female;28;3;0;2;1;1;19244902;0;2;0
1250;15803681;803;France;Female;26;4;0;2;1;1;18120847;0;0;0
1251;15702789;548;Germany;Male;32;5;17521471;1;1;1;15516561;0;1;1
1252;15814930;588;Germany;Female;40;10;12553451;1;1;0;12150418;1;1;0
1253;15658306;693;France;Male;68;4;9770599;1;1;1;6156907;0;0;1
1254;15699523;499;Germany;Female;55;4;12681765;2;1;0;12326971;0;1;0
1255;15610383;628;France;Female;46;1;4687043;4;1;0;3127214;1;0;0
1256;15615032;624;Spain;Male;46;3;0;2;1;1;6282503;0;2;1
1257;15781989;733;France;Male;42;9;12009493;1;1;0;18405645;0;0;1
1258;15647402;628;France;Female;38;3;0;2;1;1;4892473;0;0;0
1259;15740494;633;France;Female;33;3;0;2;1;0;19111102;0;0;0
1260;15701265;559;Germany;Female;36;1;10435694;2;0;1;5418406;0;1;0
1261;15743532;704;Germany;Male;27;5;14700434;1;1;0;6438133;1;1;1
1262;15794870;744;Germany;Male;38;6;7302317;2;1;0;7877086;0;1;1
1263;15747591;665;Spain;Female;40;1;17343255;1;0;1;11676679;0;2;0
1264;15726557;638;France;Female;42;7;16567992;1;0;0;3291629;0;0;0
1265;15732199;837;Spain;Male;31;9;10467862;1;0;1;509726;0;2;1
1266;15662291;534;France;Female;55;8;11697326;3;1;0;1220665;1;0;0
1267;15749050;548;France;Female;36;3;0;1;1;0;659969;0;0;0
1268;15781586;837;Germany;Male;38;2;12673285;1;1;1;7957738;0;1;1
1269;15617078;658;France;Female;44;6;14848109;1;1;0;13052913;0;0;0
1270;15723339;554;France;Female;38;4;13765405;2;1;1;17262967;0;0;0
1271;15671322;724;Germany;Male;30;7;11531504;1;1;0;1521653;0;1;1
1272;15793854;723;France;Male;42;2;9909573;1;1;1;1751253;0;0;1
1273;15756539;585;Germany;Female;39;7;16561041;2;0;0;13185201;0;1;0
1274;15612064;474;France;Male;33;5;0;2;1;0;18194552;1;0;1
1275;15625916;562;Spain;Male;32;6;16162866;1;1;0;914825;0;2;1
1276;15683195;719;France;Male;32;9;14660527;1;1;1;7711945;0;0;1
1277;15690182;635;Germany;Male;37;5;11348868;1;1;0;9561174;1;1;1
1278;15721719;743;France;Male;42;7;770022;2;1;1;8042842;0;0;1
1279;15641690;681;Spain;Male;67;7;0;2;0;1;16371492;0;2;1
1280;15634896;521;France;Female;39;6;0;2;0;1;2737515;0;0;0
1281;15671590;741;Spain;Male;25;4;0;2;1;1;7387365;0;2;1
1282;15779182;790;Spain;Male;46;8;18236453;1;0;0;13926648;1;2;1
1283;15778287;622;France;Male;35;8;0;2;1;1;13177251;0;0;1
1284;15609510;669;France;Male;45;7;14936458;1;0;1;17345407;0;0;1
1285;15742229;583;France;Male;59;7;12745014;1;0;1;6755271;0;0;1
1286;15658532;520;Spain;Female;63;5;16227832;1;1;1;3476533;0;2;0
1287;15590993;579;Spain;Male;37;5;15221288;2;0;0;12021914;0;2;1
1288;15565701;698;Spain;Female;39;9;16199389;1;0;0;9021238;0;2;0
1289;15597239;548;Spain;Male;39;7;13146844;1;1;0;16497582;0;2;1
1290;15688880;672;Germany;Male;40;10;10298044;1;1;0;128581;1;1;1
1291;15813917;653;Germany;Male;31;9;14332197;1;1;0;8367946;0;1;1
1292;15679611;734;Spain;Female;37;2;13040492;1;0;0;3454874;0;2;0
1293;15636589;794;France;Female;41;7;0;2;1;1;7427508;0;0;0
1294;15687752;641;France;Male;30;2;8750547;2;0;1;727857;0;0;1
1295;15584363;824;France;Male;30;0;13363402;1;1;1;16205392;0;0;1
1296;15737748;534;Spain;Female;33;3;15123362;1;0;0;19933663;0;2;0
1297;15803365;653;Spain;Male;55;2;7026383;1;0;1;6234771;0;2;1
1298;15793247;498;France;Male;34;5;0;2;1;1;9171166;0;0;1
1299;15572360;683;France;Male;30;10;5765749;1;0;0;792409;0;0;1
1300;15795166;618;Germany;Male;42;8;15357231;2;1;1;766796;0;1;1
1301;15724620;538;France;Male;37;1;13475208;1;1;0;16251155;0;0;1
1302;15800856;643;Spain;Male;34;3;8313209;1;1;1;2136088;0;2;1
1303;15671097;428;France;Female;31;2;0;2;1;0;5448743;0;0;0
1304;15683930;593;Germany;Female;32;9;13409653;2;1;0;5393105;1;1;0
1305;15749004;718;France;Female;31;0;11810059;2;1;0;10316515;0;0;0
1306;15800434;811;Germany;Male;52;10;769154;1;0;0;14635981;1;1;1
1307;15709117;823;Spain;Female;46;3;8157675;1;1;1;2837095;1;2;0
1308;15638806;645;Spain;Male;49;2;0;2;0;0;1002315;0;2;1
1309;15662294;710;France;Male;33;10;11832717;2;1;1;19292882;0;0;1
1310;15690079;591;Spain;Male;30;8;12485769;2;0;0;504857;0;2;1
1311;15759317;748;Germany;Female;27;2;9097185;1;1;1;13166247;0;1;0
1312;15750497;850;France;Female;37;7;15314775;1;1;1;1522353;0;0;0
1313;15596181;542;France;Male;38;8;6594226;1;1;1;6809323;1;0;1
1314;15576602;809;France;Male;38;3;0;2;1;1;8006131;0;0;1
1315;15644833;675;France;Male;54;2;0;1;1;0;14958367;1;0;1
1316;15734634;607;Spain;Female;27;5;10091219;1;0;0;763127;0;2;0
